"x_bar","LSC","LIC","LC","R"
22,45.2580256410256,20,33,5
35,45.2580256410256,20,33,14
33,45.2580256410256,20,33,23
33,45.2580256410256,20,33,11
36,45.2580256410256,20,33,10
34,45.2580256410256,20,33,10
29,45.2580256410256,20,33,16
38,45.2580256410256,20,33,4
29,45.2580256410256,20,33,9
35,45.2580256410256,20,33,9
39,45.2580256410256,20,33,13
30,45.2580256410256,20,33,11
39,45.2580256410256,20,33,7
33,45.2580256410256,20,33,10
34,45.2580256410256,20,33,21
36,45.2580256410256,20,33,22
33,45.2580256410256,20,33,16
31,45.2580256410256,20,33,6
33,45.2580256410256,20,33,12
36,45.2580256410256,20,33,12
29,45.2580256410256,20,33,3
33,45.2580256410256,20,33,12
29,45.2580256410256,20,33,12
37,45.2580256410256,20,33,12
30,45.2580256410256,20,33,10
31,45.2580256410256,20,33,4
26,45.2580256410256,20,33,12
31,45.2580256410256,20,33,17
27,45.2580256410256,20,33,4
31,45.2580256410256,20,33,13
30,45.2580256410256,20,33,20
31,45.2580256410256,20,33,7
33,45.2580256410256,20,33,9
31,45.2580256410256,20,33,19
33,45.2580256410256,20,33,21
33,45.2580256410256,20,33,19
40,45.2580256410256,20,33,14
36,45.2580256410256,20,33,20
34,45.2580256410256,20,33,12
